Date,Open,High,Low,Close,Adj Close,Volume
2010-09-01,1623.453613,1635.303589,1587.903442,1623.453613,1136.938110,75534643
2010-09-02,1599.753540,1623.453613,1599.753540,1599.753540,1120.340576,42551594
2010-09-03,1659.003662,1659.003662,1599.753540,1659.003662,1161.834473,58458732
2010-09-06,1706.403809,1718.253784,1659.003662,1706.403809,1195.029907,45603275
2010-09-07,1741.953857,1741.953857,1706.403809,1741.953857,1219.926270,30103309
2010-09-15,1777.503906,1896.004150,1777.503906,1896.004150,1327.811157,80188642
2010-09-16,1824.904053,1896.004150,1824.904053,1824.904053,1278.018311,45854329
2010-09-17,1801.203979,1824.904053,1777.503906,1801.203979,1261.420654,59023076
2010-09-20,1789.353882,1801.203979,1753.803833,1789.353882,1253.121582,35268909
2010-09-21,1718.253784,1789.353882,1718.253784,1718.253784,1203.328857,36233042
2010-09-22,1647.153564,1718.253784,1635.303589,1647.153564,1153.535889,116366832
2010-09-23,1647.153564,1670.853638,1623.453613,1647.153564,1153.535889,47662342
2010-09-24,1765.653931,1765.653931,1623.453613,1765.653931,1236.523926,108051450
2010-09-27,1753.803833,1777.503906,1730.103760,1753.803833,1228.225220,67016730
2010-09-28,1741.953857,1789.353882,1706.403809,1741.953857,1219.926270,100999777
2010-09-29,1777.503906,1777.503906,1753.803833,1777.503906,1244.822754,31045290
2010-09-30,1741.953857,1777.503906,1741.953857,1741.953857,1219.926270,58594807
2010-10-01,1741.953857,1777.503906,1718.253784,1741.953857,1219.926270,29497825
2010-10-04,1753.803833,1765.653931,1741.953857,1753.803833,1228.225220,41182398
2010-10-05,1789.353882,1801.203979,1741.953857,1789.353882,1253.121582,52761487
2010-10-06,1836.754028,1848.604126,1801.203979,1836.754028,1286.317139,95873206
2010-10-07,1836.754028,1860.454102,1801.203979,1836.754028,1286.317139,34082203
2010-10-08,1836.754028,1872.304077,1824.904053,1836.754028,1286.317139,34412371
2010-10-11,1836.754028,1860.454102,1824.904053,1836.754028,1286.317139,38296329
2010-10-12,1848.604126,1860.454102,1824.904053,1848.604126,1294.615601,14117057
2010-10-13,1896.004150,1896.004150,1860.454102,1896.004150,1327.811157,45201377
2010-10-14,1931.554199,1967.104370,1919.704224,1931.554199,1352.707397,32099085
2010-10-15,1896.004150,1967.104370,1896.004150,1896.004150,1327.811157,14103344
2010-10-18,1884.154175,1943.404297,1884.154175,1884.154175,1319.512207,10912423
2010-10-19,1848.604126,1896.004150,1848.604126,1848.604126,1294.615601,20474638
2010-10-20,1848.604126,1872.304077,1801.203979,1848.604126,1294.615601,19348058
2010-10-21,1836.754028,1860.454102,1813.053955,1836.754028,1286.317139,14026340
2010-10-22,1836.754028,1848.604126,1824.904053,1836.754028,1286.317139,13530560
2010-10-25,1872.304077,1872.304077,1836.754028,1872.304077,1311.213501,22498895
2010-10-26,1884.154175,1896.004150,1872.304077,1884.154175,1319.512207,26649730
2010-10-27,1824.904053,1884.154175,1813.053955,1824.904053,1278.018311,32644442
2010-10-28,1824.904053,1872.304077,1813.053955,1824.904053,1278.018311,19003122
2010-10-29,1848.604126,1848.604126,1813.053955,1848.604126,1294.615601,20860713
2010-11-01,1848.604126,1860.454102,1836.754028,1848.604126,1294.615601,11940902
2010-11-02,1860.454102,1860.454102,1836.754028,1860.454102,1302.914551,25995723
2010-11-03,1872.304077,1896.004150,1860.454102,1872.304077,1311.213501,32912374
2010-11-04,1860.454102,1884.154175,1848.604126,1860.454102,1302.914551,26772093
2010-11-05,1872.304077,1884.154175,1848.604126,1872.304077,1311.213501,22106491
2010-11-08,1824.904053,1860.454102,1813.053955,1824.904053,1278.018311,59549447
2010-11-09,1824.904053,1836.754028,1801.203979,1824.904053,1278.018311,37962996
2010-11-10,1824.904053,1824.904053,1813.053955,1824.904053,1278.018311,13114950
2010-11-11,1824.904053,1836.754028,1801.203979,1824.904053,1278.018311,39162361
2010-11-12,1824.904053,1848.604126,1813.053955,1824.904053,1278.018311,13822754
2010-11-15,1789.353882,1836.754028,1777.503906,1789.353882,1253.121582,31184530
2010-11-16,1836.754028,1836.754028,1789.353882,1836.754028,1286.317139,42311088
2010-11-18,1836.754028,1836.754028,1813.053955,1836.754028,1286.317139,41843789
2010-11-19,1824.904053,1836.754028,1813.053955,1824.904053,1278.018311,26057959
2010-11-22,1824.904053,1836.754028,1789.353882,1824.904053,1278.018311,25451420
2010-11-23,1730.103760,1801.203979,1718.253784,1730.103760,1211.627441,70735076
2010-11-24,1813.053955,1813.053955,1741.953857,1813.053955,1269.719116,88546218
2010-11-25,1907.854248,1919.704224,1836.754028,1907.854248,1336.109863,67164409
2010-11-26,1860.454102,1907.854248,1848.604126,1860.454102,1302.914551,60474550
2010-11-29,1919.704224,1919.704224,1872.304077,1919.704224,1344.408691,39641263
2010-11-30,1919.704224,1943.404297,1872.304077,1919.704224,1344.408691,45581123
2010-12-01,2085.604492,2085.604492,1919.704224,2085.604492,1460.592041,79647504
2010-12-02,2061.904541,2133.004639,2038.204468,2061.904541,1443.994751,59342696
2010-12-03,2350.000000,2550.000000,2050.000000,2350.000000,1645.753540,212977000
2010-12-06,2150.000000,2350.000000,2137.500000,2150.000000,1505.689697,93773000
2010-12-08,2037.500000,2150.000000,1987.500000,2037.500000,1426.903564,175954000
2010-12-09,2062.500000,2087.500000,2012.500000,2062.500000,1444.411621,39807000
2010-12-10,1987.500000,2025.000000,1912.500000,1987.500000,1391.887573,322568000
2010-12-13,2000.000000,2025.000000,1950.000000,2000.000000,1400.641479,137064000
2010-12-14,1937.500000,2012.500000,1912.500000,1937.500000,1356.871460,200800000
2010-12-15,1900.000000,1937.500000,1850.000000,1900.000000,1330.609497,169824000
2010-12-16,1825.000000,1887.500000,1812.500000,1825.000000,1278.085327,181999000
2010-12-17,1887.500000,1900.000000,1800.000000,1887.500000,1321.855469,108448000
2010-12-20,1837.500000,1887.500000,1812.500000,1837.500000,1286.839355,84803000
2010-12-21,1862.500000,1900.000000,1837.500000,1862.500000,1304.347534,67563000
2010-12-22,1837.500000,1862.500000,1825.000000,1837.500000,1286.839355,86338000
2010-12-23,1837.500000,1850.000000,1812.500000,1837.500000,1286.839355,37888000
2010-12-27,1825.000000,1837.500000,1800.000000,1825.000000,1278.085327,11431000
2010-12-28,1850.000000,1875.000000,1800.000000,1850.000000,1295.593506,28874000
2010-12-29,1925.000000,1950.000000,1862.500000,1925.000000,1348.117432,80804000
2010-12-30,1937.500000,1962.500000,1900.000000,1937.500000,1356.871460,84316000
2011-01-03,1900.000000,1962.500000,1900.000000,1900.000000,1330.609497,60258000
2011-01-04,1912.500000,1937.500000,1887.500000,1912.500000,1339.363525,74904000
2011-01-05,1937.500000,1950.000000,1912.500000,1937.500000,1356.871460,74120000
2011-01-06,1875.000000,1950.000000,1850.000000,1875.000000,1313.101440,89338000
2011-01-07,1775.000000,1862.500000,1750.000000,1775.000000,1243.069580,171189000
2011-01-10,1687.500000,1775.000000,1675.000000,1687.500000,1181.791260,198205000
2011-01-11,1600.000000,1712.500000,1587.500000,1600.000000,1120.513306,249337000
2011-01-12,1687.500000,1687.500000,1612.500000,1687.500000,1181.791260,98602000
2011-01-13,1662.500000,1725.000000,1650.000000,1662.500000,1164.283447,63267000
2011-01-14,1675.000000,1687.500000,1637.500000,1675.000000,1173.037109,49664000
2011-01-17,1650.000000,1687.500000,1612.500000,1650.000000,1155.529053,40822000
2011-01-18,1675.000000,1687.500000,1625.000000,1675.000000,1173.037109,37531000
2011-01-19,1675.000000,1712.500000,1650.000000,1675.000000,1173.037109,33392000
2011-01-20,1612.500000,1662.500000,1600.000000,1612.500000,1129.267090,62682000
2011-01-21,1600.000000,1612.500000,1537.500000,1600.000000,1120.513306,75955000
2011-01-24,1625.000000,1625.000000,1575.000000,1625.000000,1138.021118,53746000
2011-01-25,1675.000000,1687.500000,1625.000000,1675.000000,1173.037109,77378000
2011-01-26,1750.000000,1750.000000,1637.500000,1750.000000,1225.561279,80321000
2011-01-27,1712.500000,1762.500000,1687.500000,1712.500000,1199.299316,53975000
2011-01-28,1675.000000,1712.500000,1662.500000,1675.000000,1173.037109,31360000
2011-01-31,1612.500000,1650.000000,1575.000000,1612.500000,1129.267090,124191000
2011-02-01,1612.500000,1612.500000,1575.000000,1612.500000,1129.267090,67789000
2011-02-02,1650.000000,1662.500000,1625.000000,1650.000000,1155.529053,58303000
2011-02-04,1700.000000,1700.000000,1662.500000,1700.000000,1190.545288,49959000
2011-02-07,1712.500000,1725.000000,1675.000000,1712.500000,1199.299316,38953000
2011-02-08,1712.500000,1737.500000,1700.000000,1712.500000,1199.299316,34555000
2011-02-09,1675.000000,1712.500000,1662.500000,1675.000000,1173.037109,35964000
2011-02-10,1675.000000,1675.000000,1625.000000,1675.000000,1173.037109,51198000
2011-02-11,1712.500000,1725.000000,1637.500000,1712.500000,1199.299316,52836000
2011-02-14,1725.000000,1737.500000,1700.000000,1725.000000,1208.053467,34423000
2011-02-16,1712.500000,1725.000000,1687.500000,1712.500000,1199.299316,41788000
2011-02-17,1712.500000,1725.000000,1687.500000,1712.500000,1199.299316,14749000
2011-02-18,1775.000000,1775.000000,1712.500000,1775.000000,1243.069580,95687000
2011-02-21,1775.000000,1787.500000,1750.000000,1775.000000,1243.069580,25126000
2011-02-22,1712.500000,1750.000000,1700.000000,1712.500000,1199.299316,38182000
2011-02-23,1725.000000,1762.500000,1712.500000,1725.000000,1208.053467,38493000
2011-02-24,1725.000000,1750.000000,1700.000000,1725.000000,1208.053467,46461000
2011-02-25,1725.000000,1725.000000,1700.000000,1725.000000,1208.053467,27367000
2011-02-28,1775.000000,1775.000000,1700.000000,1775.000000,1243.069580,71147000
2011-03-01,1812.500000,1812.500000,1775.000000,1812.500000,1269.331299,66327000
2011-03-02,1800.000000,1825.000000,1787.500000,1800.000000,1260.577393,73861000
2011-03-03,1837.500000,1850.000000,1800.000000,1837.500000,1286.839355,46186000
2011-03-04,1900.000000,1900.000000,1850.000000,1900.000000,1330.609497,100534000
2011-03-07,1925.000000,1925.000000,1862.500000,1925.000000,1348.117432,75718000
2011-03-08,1900.000000,1925.000000,1887.500000,1900.000000,1330.609497,42154000
2011-03-09,1900.000000,1912.500000,1862.500000,1900.000000,1330.609497,30976000
2011-03-10,1900.000000,1900.000000,1862.500000,1900.000000,1330.609497,16487000
2011-03-11,1875.000000,1887.500000,1837.500000,1875.000000,1313.101440,19433000
2011-03-14,1887.500000,1912.500000,1837.500000,1887.500000,1321.855469,31518000
2011-03-15,1837.500000,1850.000000,1800.000000,1837.500000,1286.839355,78412000
2011-03-16,1837.500000,1862.500000,1812.500000,1837.500000,1286.839355,58106000
2011-03-17,1800.000000,1825.000000,1775.000000,1800.000000,1260.577393,40469000
2011-03-18,1812.500000,1825.000000,1775.000000,1812.500000,1269.331299,48482000
2011-03-21,1812.500000,1812.500000,1787.500000,1812.500000,1269.331299,14673000
2011-03-22,1787.500000,1800.000000,1775.000000,1787.500000,1251.823364,20894000
2011-03-23,1787.500000,1787.500000,1787.500000,1787.500000,1251.823364,0
2011-03-24,1887.500000,1887.500000,1825.000000,1887.500000,1321.855469,52598000
2011-03-25,1875.000000,1912.500000,1875.000000,1875.000000,1313.101440,46685000
2011-03-28,1887.500000,1900.000000,1862.500000,1887.500000,1321.855469,25608000
2011-03-29,1887.500000,1900.000000,1862.500000,1887.500000,1321.855469,20142000
2011-03-30,1950.000000,1950.000000,1887.500000,1950.000000,1365.625366,97148000
2011-03-31,1987.500000,2000.000000,1950.000000,1987.500000,1391.887573,145815000
2011-04-01,1975.000000,2000.000000,1962.500000,1975.000000,1383.133667,50923000
2011-04-04,1975.000000,2000.000000,1950.000000,1975.000000,1383.133667,39406000
2011-04-05,1950.000000,1975.000000,1937.500000,1950.000000,1365.625366,13337000
2011-04-06,2000.000000,2012.500000,1925.000000,2000.000000,1400.641479,52964000
2011-04-07,2012.500000,2025.000000,1987.500000,2012.500000,1409.395630,72030000
2011-04-08,1987.500000,2012.500000,1962.500000,1987.500000,1391.887573,54426000
2011-04-11,1975.000000,2000.000000,1950.000000,1975.000000,1383.133667,29636000
2011-04-12,1962.500000,1975.000000,1937.500000,1962.500000,1374.379395,19696000
2011-04-13,1975.000000,1975.000000,1937.500000,1975.000000,1383.133667,23876000
2011-04-14,1975.000000,1987.500000,1950.000000,1975.000000,1383.133667,24526000
2011-04-15,2000.000000,2012.500000,1975.000000,2000.000000,1400.641479,50371000
2011-04-18,2000.000000,2025.000000,1987.500000,2000.000000,1400.641479,37423000
2011-04-19,1975.000000,1987.500000,1950.000000,1975.000000,1383.133667,30139000
2011-04-20,2012.500000,2025.000000,1962.500000,2012.500000,1409.395630,101443000
2011-04-21,2050.000000,2050.000000,2012.500000,2050.000000,1435.657593,91185000
2011-04-25,2075.000000,2087.500000,2050.000000,2075.000000,1453.165649,57164000
2011-04-26,2050.000000,2075.000000,2025.000000,2050.000000,1435.657593,29307000
2011-04-27,2050.000000,2050.000000,2025.000000,2050.000000,1435.657593,32944000
2011-04-28,2025.000000,2062.500000,2025.000000,2025.000000,1418.149536,30142000
2011-04-29,2025.000000,2037.500000,2012.500000,2025.000000,1418.149536,31326000
2011-05-02,2037.500000,2050.000000,2012.500000,2037.500000,1426.903564,20120000
2011-05-03,1987.500000,2025.000000,1987.500000,1987.500000,1391.887573,32989000
2011-05-04,1975.000000,1987.500000,1950.000000,1975.000000,1383.133667,39238000
2011-05-05,1937.500000,1975.000000,1937.500000,1937.500000,1356.871460,64835000
2011-05-06,1950.000000,1975.000000,1925.000000,1950.000000,1365.625366,61888000
2011-05-09,1950.000000,1975.000000,1937.500000,1950.000000,1365.625366,32599000
2011-05-10,1975.000000,1975.000000,1937.500000,1975.000000,1383.133667,60133000
2011-05-11,1975.000000,1987.500000,1950.000000,1975.000000,1383.133667,61737000
2011-05-12,1950.000000,1962.500000,1937.500000,1950.000000,1365.625366,47244000
2011-05-13,1962.500000,1962.500000,1937.500000,1962.500000,1374.379395,24753000
2011-05-16,1937.500000,1962.500000,1925.000000,1937.500000,1356.871460,15810000
2011-05-18,1962.500000,1987.500000,1937.500000,1962.500000,1374.379395,35763000
2011-05-19,1975.000000,1987.500000,1962.500000,1975.000000,1383.133667,35046000
2011-05-20,1975.000000,1975.000000,1950.000000,1975.000000,1383.133667,17882000
